client_id,nom,prenom,age,ville,population_ville,revenu_annuel,type_compte,solde,statut
1,Dubois,Hugo,66.0,Saint-Étienne,170000,109297,Premium,65650.4,Inactif
2,Simon,Lina,37.0,Strasbourg,290000,148328,Courant,42913.8,Inactif
3,Dubois,Jean,76.0,Perpignan,120000,44883,Courant,6577.05,Inactif
4,Moreau,Emma,76.0,Mulhouse,108000,85848,Epargne,82334.8,Inactif
5,Michel,Julie,25.0,Mulhouse,108000,37673,Epargne,19130.79,Actif
6,David,Marie,79.0,Paris,2148000,76622,Premium,108176.84,Inactif
7,Moreau,Emma,21.0,Bordeaux,260000,102219,Premium,91377.21,Inactif
8,Simon,Camille,65.0,Perpignan,120000,21153,Courant,69050.48,Actif
9,Roux,Hugo,59.0,Marseille,870000,85758,Courant,85778.38,Actif
10,Richard,Lina,46.0,Tours,135000,77795,Courant,113211.9,Inactif
11,Fournier,Nathan,58.0,Metz,120000,105423,Courant,89081.5,Actif
12,Leroy,Jean,48.0,Villeurbanne,160000,87914,Epargne,17616.34,Inactif
13,Girard,Lina,71.0,Toulon,175000,30803,Courant,84256.98,Actif
14,Roux,Sarah,64.0,Dijon,155000,56790,Epargne,99315.28,Actif
15,Fournier,Tom,18.0,Bordeaux,260000,47884,Courant,3987.23,Actif
16,Martin,Lina,62.0,Strasbourg,290000,103389,Premium,13673.08,Actif
17,Dubois,Paul,59.0,Tours,135000,85684,Epargne,109510.49,Inactif
18,Michel,Hugo,53.0,Caen,110000,86457,Courant,34079.33,Actif
19,Dubois,Luc,37.0,Paris,2148000,95258,Courant,15341.73,Actif
20,Dupont,Nathan,41.0,Saint-Étienne,170000,65945,Premium,57231.72,Actif
21,Dubois,Sarah,56.0,Mulhouse,108000,124999,Premium,85011.95,Inactif
22,Durand,Pierre,76.0,Amiens,135000,63133,Premium,29578.35,Inactif
23,Petit,Marie,29.0,Brest,140000,71332,Courant,78576.08,Actif
24,Simon,Sophie,22.0,Saint-Étienne,170000,64168,Premium,14392.0,Actif
25,David,Louis,43.0,Tours,135000,76163,Premium,97445.75,Inactif
26,Martin,Sarah,79.0,Nantes,320000,63724,Courant,17374.39,Inactif
27,Fournier,Adam,29.0,Toulouse,490000,136401,Premium,78416.64,Actif
28,Dupont,Jean,67.0,Dijon,155000,105741,Premium,7292.69,Inactif
29,Bertrand,Emma,77.0,Toulouse,490000,61580,Premium,37373.92,Inactif
30,Moreau,Nathan,20.0,Lyon,520000,24230,Premium,94204.46,Actif
31,Martin,Louis,54.0,Angers,150000,76780,Courant,38580.47,Actif
32,Dupont,Sophie,73.0,Rennes,225000,140760,Premium,1012.72,Actif
33,Dubois,Adam,21.0,Caen,110000,109762,Epargne,53642.49,Actif
34,Bertrand,Paul,62.0,Brest,140000,135325,Epargne,49526.59,Actif
35,Dupont,Adam,18.0,Montpellier,300000,34761,Courant,24999.65,Inactif
36,Moreau,Adam,58.0,Mulhouse,108000,39741,Premium,4971.08,Actif
37,David,Paul,66.0,Reims,180000,137858,Premium,21062.86,Actif
38,Simon,Marie,50.0,Montpellier,300000,42695,Premium,104302.91,Actif
39,Fournier,Adam,51.0,Nantes,320000,76206,Courant,93174.86,Actif
40,Fournier,Louis,59.0,Dijon,155000,135041,Epargne,8253.59,Inactif
41,Laurent,Paul,69.0,Nice,340000,21208,Epargne,111454.18,Actif
42,Bertrand,Louis,47.0,Grenoble,160000,133891,Premium,52126.94,Inactif
43,Dubois,Emma,24.0,Rennes,225000,36984,Epargne,66790.98,Actif
44,Richard,Pierre,79.0,Nice,340000,132520,Premium,109892.45,Inactif
45,Bertrand,Louis,45.0,Mulhouse,108000,50392,Courant,100264.42,Actif
46,Fournier,Marie,80.0,Le Havre,165000,134499,Premium,12900.35,Actif
47,Girard,Manon,30.0,Montpellier,300000,99258,Courant,30674.83,Actif
48,Martin,Nathan,42.0,Clermont-Ferrand,145000,56002,Premium,57581.73,Actif
49,Bertrand,Sarah,77.0,Rennes,225000,31525,Premium,113072.76,Actif
50,Dubois,Lucas,62.0,Paris,2148000,48293,Premium,31179.7,Inactif
51,Girard,Hugo,80.0,Bordeaux,260000,130497,Courant,112479.03,Inactif
52,Michel,Manon,28.0,Reims,180000,87938,Premium,88341.33,Actif
53,Bertrand,Paul,32.0,Bordeaux,260000,123063,Epargne,67313.75,Inactif
54,Moreau,Manon,68.0,Metz,120000,125411,Courant,14904.5,Actif
55,Leroy,Louis,44.0,Angers,150000,103392,Premium,119700.16,Actif
56,Bertrand,Nathan,61.0,Metz,120000,129906,Courant,17284.06,Inactif
57,Petit,Luc,54.0,Nice,340000,76470,Epargne,77835.23,Actif
58,Bertrand,Chloe,61.0,Amiens,135000,145482,Courant,107370.82,Inactif
59,Richard,Nathan,60.0,Brest,140000,137547,Courant,39918.83,Actif
60,Moreau,Hugo,36.0,Perpignan,120000,102665,Epargne,70896.95,Actif
61,Durand,Tom,51.0,Dijon,155000,126022,Epargne,29087.87,Actif
62,Moreau,Sophie,60.0,Metz,120000,57661,Courant,45241.65,Inactif
63,Richard,Ines,19.0,Nantes,320000,44902,Courant,101469.75,Inactif
64,Simon,Chloe,61.0,Nice,340000,83544,Premium,53539.53,Inactif
65,Simon,Sophie,61.0,Angers,150000,86049,Premium,310.26,Actif
66,Morel,Ines,36.0,Paris,2148000,101260,Courant,47521.5,Actif
67,Robert,Sophie,34.0,Saint-Étienne,170000,144883,Premium,110426.55,Actif
68,Dupont,Ines,48.0,Nantes,320000,131896,Courant,30823.53,Actif
69,David,Manon,40.0,Saint-Étienne,170000,132840,Epargne,47752.36,Actif
70,David,Lina,26.0,Toulouse,490000,104214,Courant,66214.84,Inactif
71,LEFEVRE,Lina,80.0,Montpellier,300000,44986,Epargne,90195.48,Inactif
72,Laurent,Hugo,60.0,Grenoble,160000,72571,Courant,90480.91,Actif
73,Lefevre,Jean,64.0,Tours,135000,124231,Premium,69061.68,Actif
74,Dupont,Paul,23.0,Lille,235000,70185,Epargne,49426.63,Inactif
75,Bertrand,Emma,27.0,Amiens,135000,102961,Courant,41064.61,Inactif
76,Durand,Camille,62.0,Villeurbanne,160000,144096,Courant,35736.81,Actif
77,Martin,Camille,,Angers,150000,53394,Courant,101840.27,Actif
78,Michel,Paul,,Montpellier,300000,52640,Epargne,90302.07,Actif
79,Leroy,Louis,60.0,Marseille,870000,46198,Epargne,4038.38,Inactif
80,Laurent,Jean,72.0,Lille,235000,43504,Premium,43486.28,Actif
81,Durand,Emma,77.0,Villeurbanne,160000,145825,Epargne,16571.39,Inactif
